SPOLEČNĚ PRO SADSKOU
1. Milan Dokoupil (BEZPP, navrhuje NK, 50 let, starosta města, daňový poradce, Sadská)
2. Ing. Jakub Barták, MPA (BEZPP, navrhuje NK, 32 let, místostarosta města, Sadská)
3. Mgr. Věra Pospíšilová (BEZPP, navrhuje NK, 43 let, učitelka, Sadská)
4. Ing. Jaroslav Lambert (BEZPP, navrhuje NK, 37 let, vedoucí technického oddělení, Sadská)
5. Bc. Zdeněk Němeček (BEZPP, navrhuje NK, 28 let, ministerský rada, Sadská)
6. Markéta Semecká Snopková (BEZPP, navrhuje NK, 42 let, senior manager, Sadská)
7. Jan Pfeifer (BEZPP, navrhuje NK, 41 let, analytik programátor, Sadská)
8. Vít Koniuk (BEZPP, navrhuje NK, 22 let, student, Sadská)
9. Věra Vlčková (BEZPP, navrhuje NK, 51 let, webmaster, Sadská)
10. Jiří Krišal (BEZPP, navrhuje NK, 52 let, řidič, Sadská)
11. Ing. Jiří Bouška (BEZPP, navrhuje NK, 42 let, provozně-ekonomický manager, Sadská)
12. Michal Žána (BEZPP, navrhuje NK, 61 let, podnikatel, Sadská)
13. Mgr. Radka Bláhová (BEZPP, navrhuje NK, 52 let, učitelka, Sadská)
14. Martin Snop (BEZPP, navrhuje NK, 48 let, zámečník , svářeč, Sadská)
15. Světlana Tománková (BEZPP, navrhuje NK, 51 let, sanitářka, Sadská)

Sadšťáci
1. Kateřina Dvořáková (BEZPP, navrhuje NK, 47 let, ministerský rada, Sadská)
2. Jindřich Jaroš (BEZPP, navrhuje NK, 40 let, podnikatel, Sadská)
3. Mgr. Blanka Žánová (BEZPP, navrhuje NK, 57 let, ředitelka školy, Sadská)
4. Jiří Drahorád (BEZPP, navrhuje NK, 45 let, podnikatel, Sadská)
5. Anna Pýchová (BEZPP, navrhuje NK, 41 let, personalistka, Sadská)
6. Matyáš Balaš (BEZPP, navrhuje NK, 19 let, student, Sadská)
7. Šárka Pobudová (BEZPP, navrhuje NK, 39 let, zdravotní sestra, Sadská)
8. Pavel Švíka (BEZPP, navrhuje NK, 47 let, IT specialista, Sadská)
9. Radka Strnadová (BEZPP, navrhuje NK, 46 let, manager, Sadská)
10. Petra Hladíková (BEZPP, navrhuje NK, 49 let, bankéřka, Sadská)
11. Naděžda Prejzová (BEZPP, navrhuje NK, 60 let, učitelka, Sadská)
12. Jana Snopová (BEZPP, navrhuje NK, 46 let, vychovatelka, Sadská)
13. Petra Bezuchová (BEZPP, navrhuje NK, 48 let, ved. šk. jídelny, Sadská)
14. Zdeněk Ulrych (BEZPP, navrhuje NK, 67 let, technik, Sadská)
15. Jana Janáková (BEZPP, navrhuje NK, 50 let, technik kvality, Sadská)

SPOLU a STAN
1. Mgr. Jan Pleskač (ODS, navrhuje ODS, 32 let, poradce ministryně, Sadská)
2. Ing. Jiří Haluza (BEZPP, navrhuje STAN, 60 let, konzultant IT, Sadská)
3. PaedDr. Cecilie Pajkrtová (BEZPP, navrhuje ODS, 62 let, zastupitelka, Sadská)
4. RNDr. Martin Lébl (BEZPP, navrhuje ODS, 61 let, učitel, Sadská)
5. Helena Babecová (BEZPP, navrhuje ODS, 45 let, učitelka autoškoly, Sadská)
6. Pavel Studnický (ODS, navrhuje ODS, 64 let, technik, Sadská)
7. Lukáš Moravec (BEZPP, navrhuje STAN, 34 let, administrativní pracovník logistik, Sadská)
8. Dana Hořáková (ODS, navrhuje ODS, 72 let, zdravotní sestra, Sadská)
9. Jitka Vyleťalová (BEZPP, navrhuje KDU-ČSL, 44 let, kuchařka, Sadská)
10. Jarmila Hluchá (BEZPP, navrhuje TOP 09, 36 let, grafik, Sadská)
11. Jiřina Nováková (ODS, navrhuje ODS, 32 let, osobní asistentka ministryně, Sadská)
12. Bc. Jakub Holzer (BEZPP, navrhuje STAN, 36 let, copywriter, Sadská)
13. Jiří Pokrupa (BEZPP, navrhuje ODS, 78 let, důchodce, Sadská)
14. Ing. Oldřich Pleskač (ODS, navrhuje ODS, 61 let, řidič VKD, Sadská)
15. Ing. arch. Aleš Tomášek (BEZPP, navrhuje ODS, 50 let, architekt, Sadská)
end
